username,isaPerson,userLocation,jobArea,screenName
@HumasPolairud,nonperson,sulawesi,sosial kemasyarakatan,HumasPolairud
@kanwilsulteng,nonperson,sulawesi,sosial kemasyarakatan,kanwilsulteng
@gomaluku,person,maluku dan papua,media,gomaluku
@soundofpapua,nonperson,maluku dan papua,sosial kemasyarakatan,soundofpapua
@pemprovpapua,nonperson,maluku dan papua,sains dan teknologi,pemprovpapua
@berita_papuaID,nonperson,maluku dan papua,media,berita_papuaID
@Info_Jayapura,nonperson,maluku dan papua,media,Info_Jayapura
@ponxx2020papua,nonperson,maluku dan papua,kesehatan,ponxx2020papua
@bbSulsel,nonperson,sulawesi,pendidikan dan penelitian,bbSulsel
@LPMP_Sulbar,nonperson,sulawesi,pendidikan dan penelitian,LPMP_Sulbar
@BBhsAceh,nonperson,sumatera,pendidikan dan penelitian,BBhsAceh
@paudgto,nonperson,sulawesi,pendidikan dan penelitian,paudgto
@Bahasa_Sultra,nonperson,sulawesi,pendidikan dan penelitian,Bahasa_Sultra
@BBahasaSulut,nonperson,sulawesi,pendidikan dan penelitian,BBahasaSulut
@irwanprayitno,person,sumatera,sosial kemasyarakatan,irwanprayitno
@SemenPadang1910,nonperson,sumatera,ekonomi dan bisnis,SemenPadang1910
@InfoRanahMinang,nonperson,sumatera,sosial kemasyarakatan,InfoRanahMinang
@Army_Kalimantan,nonperson,kalimantan,hiburan,Army_Kalimantan
@BB_Kalbar,nonperson,kalimantan,pendidikan dan penelitian,BB_Kalbar
@KantorBahasaKT,nonperson,kalimantan,pendidikan dan penelitian,KantorBahasaKT
@bbkalteng,nonperson,kalimantan,pendidikan dan penelitian,bbkalteng
@wirausahaKalsel,nonperson,kalimantan,ekonomi dan bisnis,wirausahaKalsel
@Bappeda_Bjm,nonperson,kalimantan,sosial kemasyarakatan,Bappeda_Bjm
@RDL_Bali,nonperson,bali dan nusa tenggara,hiburan,RDL_Bali
@StandupindoBali,nonperson,bali dan nusa tenggara,hiburan,StandupindoBali
@litarianti,person,bali dan nusa tenggara,hiburan,litarianti
@acara_bali,nonperson,bali dan nusa tenggara,media,acara_bali
@BALINALE,nonperson,bali dan nusa tenggara,hiburan,BALINALE
@BAPENGDA_JATIM,nonperson,jawa timur,sosial kemasyarakatan,BAPENGDA_JATIM
@dishut_jatim,nonperson,jawa timur,hospitality & tourism,dishut_jatim
@JatimPemprov,nonperson,jawa timur,sosial kemasyarakatan,JatimPemprov
@humasprovjatim,nonperson,jawa timur,sosial kemasyarakatan,humasprovjatim
@bank_jatim,nonperson,jawa timur,ekonomi dan bisnis,bank_jatim
@yogyandroid,nonperson,jawa tengah dan yogyakarta,sains dan teknologi,yogyandroid
@MNCTrijayaJogja,nonperson,jawa tengah dan yogyakarta,media,MNCTrijayaJogja
@GadgetYogya,nonperson,jawa tengah dan yogyakarta,sains dan teknologi,GadgetYogya
@JogjaUpdate,nonperson,jawa tengah dan yogyakarta,media,JogjaUpdate
@MiFans_Djogja,nonperson,jawa tengah dan yogyakarta,sains dan teknologi,MiFans_Djogja
@ridwankamil,person,jawa barat dan banten,sosial kemasyarakatan,ridwankamil
@kominfocianjur,nonperson,jawa barat dan banten,media,kominfocianjur
@PemdaKotaCrb,nonperson,jawa barat dan banten,sosial kemasyarakatan,PemdaKotaCrb
@kotaSubang,nonperson,jawa barat dan banten,sosial kemasyarakatan,kotaSubang
@perekonomianjbr,nonperson,jawa barat dan banten,ekonomi dan bisnis,perekonomianjbr
@disparbudbekasi,nonperson,jabodetabek,hospitality & tourism,disparbudbekasi
@dkukm_bekasi,nonperson,jabodetabek,ekonomi dan bisnis,dkukm_bekasi
@BpbdBekasikota,nonperson,jabodetabek,sosial kemasyarakatan,BpbdBekasikota
@rsudcambekasi,nonperson,jabodetabek,kesehatan,rsudcambekasi
@bpkadkotabekasi,nonperson,jabodetabek,ekonomi dan bisnis,bpkadkotabekasi
@ProfesorZubairi,person,jabodetabek,kesehatan,ProfesorZubairi
@drpriono1,person,jabodetabek,kesehatan,drpriono1
@drdickybudiman,person,jabodetabek,kesehatan,drdickybudiman
@LaporCovid,nonperson,jabodetabek,kesehatan,LaporCovid
@lawancovid19_id,nonperson,jabodetabek,kesehatan,lawancovid19_id
@dr_koko28,person,jabodetabek,kesehatan,dr_koko28
@PBIDI,nonperson,jabodetabek,kesehatan,PBIDI
@PlasmaheroId,nonperson,jabodetabek,kesehatan,PlasmaheroId
@SuaraTanpaRokok,nonperson,jabodetabek,kesehatan,SuaraTanpaRokok
@RadioKesehatan,nonperson,jabodetabek,kesehatan,RadioKesehatan
@DitGizi,nonperson,jabodetabek,kesehatan,DitGizi
@ldfebui,person,jabodetabek,ekonomi dan bisnis,ldfebui
@ErsaTriWahyuni,person,jawa barat dan banten,ekonomi dan bisnis,ErsaTriWahyuni
@BigAlphaID,nonperson,jabodetabek,ekonomi dan bisnis,BigAlphaID
@TradingDiary2,nonperson,jabodetabek,ekonomi dan bisnis,TradingDiary2
@mrshananto,person,jabodetabek,ekonomi dan bisnis,mrshananto
@TICMInow,nonperson,jabodetabek,ekonomi dan bisnis,TICMInow
@InvestorID,nonperson,jabodetabek,ekonomi dan bisnis,InvestorID
@doktermarket,nonperson,jabodetabek,ekonomi dan bisnis,doktermarket
@PilarBisnisID,nonperson,jabodetabek,ekonomi dan bisnis,PilarBisnisID
@BisnisId_Malang,nonperson,jawa timur,ekonomi dan bisnis,BisnisId_Malang
@InvestorKalem,person,jawa barat dan banten,ekonomi dan bisnis,InvestorKalem
@itdpindonesia,nonperson,jabodetabek,sosial kemasyarakatan,itdpindonesia
@adriansyahyasin,person,jabodetabek,sosial kemasyarakatan,adriansyahyasin
@KawalCOVID19,nonperson,jabodetabek,sosial kemasyarakatan,KawalCOVID19
@KawanBaikKomodo,nonperson,bali dan nusa tenggara,sosial kemasyarakatan,KawanBaikKomodo
@TfJakarta,nonperson,jabodetabek,sosial kemasyarakatan,TfJakarta
@trotoarian,nonperson,jabodetabek,sosial kemasyarakatan,trotoarian
@GreenpeaceID,nonperson,jabodetabek,sosial kemasyarakatan,GreenpeaceID
@tfsurabaya,nonperson,jawa timur,sosial kemasyarakatan,tfsurabaya
@cakasana,person,jawa timur,sosial kemasyarakatan,cakasana
@mas_didiek,person,jabodetabek,sosial kemasyarakatan,mas_didiek
@FraksiRakyatID,nonperson,jabodetabek,sosial kemasyarakatan,FraksiRakyatID
@nuicemedia,nonperson,jabodetabek,media,nuicemedia
@TirtoID,nonperson,jabodetabek,media,TirtoID
@GNFI,nonperson,jabodetabek,media,GNFI
@asumsico,nonperson,jabodetabek,media,asumsico
@AsumsiEn,nonperson,jabodetabek,media,AsumsiEn
@ConversationIDN,nonperson,jabodetabek,media,ConversationIDN
@CoconutsJakarta,nonperson,jabodetabek,media,CoconutsJakarta
@Coconuts_Bali,nonperson,bali dan nusa tenggara,media,Coconuts_Bali
@_jadigini,nonperson,jabodetabek,media,_jadigini
@VICE_ID,nonperson,jabodetabek,media,VICE_ID
@jakpost,nonperson,jabodetabek,media,jakpost
@zoo_bali,nonperson,bali dan nusa tenggara,hospitality & tourism,zoo_bali
@detikTravel,nonperson,jabodetabek,hospitality & tourism,detikTravel
@TravellerKaskus,nonperson,jabodetabek,hospitality & tourism,TravellerKaskus
@ubudfoodfest,nonperson,bali dan nusa tenggara,hospitality & tourism,ubudfoodfest
@akucantikkkID,person,bali dan nusa tenggara,hospitality & tourism,akucantikkkID
@dodon_jerry,person,kalimantan,hospitality & tourism,dodon_jerry
@themuliabali,nonperson,bali dan nusa tenggara,hospitality & tourism,themuliabali
@waterbombali,nonperson,bali dan nusa tenggara,hospitality & tourism,waterbombali
@infombg,nonperson,bali dan nusa tenggara,hospitality & tourism,infombg
@hrhbali,nonperson,bali dan nusa tenggara,hospitality & tourism,hrhbali
@infolombok,nonperson,bali dan nusa tenggara,hospitality & tourism,infolombok
@utbksbmptn,nonperson,jabodetabek,pendidikan dan penelitian,utbksbmptn
@univ_indonesia,nonperson,jabodetabek,pendidikan dan penelitian,univ_indonesia
@unpad,nonperson,jawa barat dan banten,pendidikan dan penelitian,unpad
@ipbofficial,nonperson,jabodetabek,pendidikan dan penelitian,ipbofficial
@UGMYogyakarta,nonperson,jawa tengah dan yogyakarta,pendidikan dan penelitian,UGMYogyakarta
@JogjaSoftware,nonperson,jawa tengah dan yogyakarta,sains dan teknologi,JogjaSoftware
@sandhikagalih,person,jawa barat dan banten,sains dan teknologi,sandhikagalih
@bitw1z,person,jabodetabek,sains dan teknologi,bitw1z
@RistekCSUI,nonperson,jabodetabek,sains dan teknologi,RistekCSUI
@asadepan,nonperson,jawa barat dan banten,sains dan teknologi,asadepan
@Koja_RSUD,nonperson,jabodetabek,kesehatan,Koja_RSUD
@rs_persahabatan,nonperson,jabodetabek,kesehatan,rs_persahabatan
@dokterdonny,person,jabodetabek,kesehatan,dokterdonny
@rumahsakit_ui,nonperson,jabodetabek,kesehatan,rumahsakit_ui
@rsugm,nonperson,jawa tengah dan yogyakarta,kesehatan,rsugm
@redlight_wear,nonperson,jawa barat dan banten,ekonomi dan bisnis,redlight_wear
@pegadaian_priok,nonperson,jabodetabek,ekonomi dan bisnis,pegadaian_priok
@feb_ugm,nonperson,jawa tengah dan yogyakarta,ekonomi dan bisnis,feb_ugm
@FEUI_2012,nonperson,jabodetabek,ekonomi dan bisnis,FEUI_2012
@konsultbisnis,nonperson,jabodetabek,ekonomi dan bisnis,konsultbisnis
@Humas_Aceh,nonperson,sumatera,sosial kemasyarakatan,Humas_Aceh
@kumhamlampung,nonperson,sumatera,sosial kemasyarakatan,kumhamlampung
@jokowi,person,jabodetabek,sosial kemasyarakatan,jokowi
@PemprovBali,nonperson,bali dan nusa tenggara,sosial kemasyarakatan,PemprovBali
@pemprovsu,nonperson,sumatera,sosial kemasyarakatan,pemprovsu
@mizoneid,nonperson,jabodetabek,ekonomi dan bisnis,mizoneid
@PlazaSemanggi,nonperson,jabodetabek,ekonomi dan bisnis,PlazaSemanggi
@ernestprakasa,person,jabodetabek,hiburan,ernestprakasa
@Arie_Kriting,person,sulawesi,hiburan,Arie_Kriting
@unyofficial,nonperson,jawa tengah dan yogyakarta,pendidikan dan penelitian,unyofficial
@arusbaik_id,nonperson,jabodetabek,media,arusbaik_id
@BankBTNcoid,nonperson,jabodetabek,ekonomi dan bisnis,BankBTNcoid
@dayatia,person,jabodetabek,kesehatan,dayatia
@kratonjogja,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,kratonjogja
@UINSK,nonperson,jawa tengah dan yogyakarta,pendidikan dan penelitian,UINSK
@PoldaJogja,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,PoldaJogja
@UPNVY_Official,nonperson,jawa tengah dan yogyakarta,pendidikan dan penelitian,UPNVY_Official
@humas_jogja,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,humas_jogja
@provjateng,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,provjateng
@FutsalJateng,nonperson,jawa tengah dan yogyakarta,olahraga,FutsalJateng
@wisatajawa,nonperson,jawa tengah dan yogyakarta,hospitality & tourism,wisatajawa
@radityadika,person,jabodetabek,hiburan,radityadika
@blogdokter,nonperson,bali dan nusa tenggara,kesehatan,blogdokter
@ferdiriva,person,jabodetabek,kesehatan,ferdiriva
@DokterAri,person,jabodetabek,kesehatan,DokterAri
@dokterapin,person,jabodetabek,kesehatan,dokterapin
@mardiasih,person,jawa tengah dan yogyakarta,pendidikan dan penelitian,mardiasih
@TifosiFutsalJGJ,nonperson,jawa tengah dan yogyakarta,olahraga,TifosiFutsalJGJ
@VisitJawaTengah,nonperson,jawa tengah dan yogyakarta,hospitality & tourism,VisitJawaTengah
@Bappeda_Jateng,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,Bappeda_Jateng
@dinsosjateng,nonperson,jawa tengah dan yogyakarta,sosial kemasyarakatan,dinsosjateng
@dinkopjateng,nonperson,jawa tengah dan yogyakarta,ekonomi dan bisnis,dinkopjateng
@sabdaps,person,jabodetabek,pendidikan dan penelitian,sabdaps
@kamentrader,person,jabodetabek,sains dan teknologi,kamentrader
@fauzanalrasyid,person,jabodetabek,media,fauzanalrasyid
@MalukuBaronda,nonperson,maluku dan papua,hospitality & tourism,MalukuBaronda
@Tribun_Maluku,nonperson,maluku dan papua,media,Tribun_Maluku
@BeritaPapua,nonperson,maluku dan papua,media,BeritaPapua
@SuaraPapua,nonperson,maluku dan papua,media,SuaraPapua
@mrshananto,person,jabodetabek,hiburan,mrshananto
@hurufkecil,person,sulawesi,seni,hurufkecil
@the_geotimes,nonperson,jabodetabek,media,the_geotimes
@detikcom,nonperson,jabodetabek,media,detikcom
@teppy87,person,jabodetabek,hiburan,teppy87
@BCLiciousKlmtan,nonperson,kalimantan,hobi,BCLiciousKlmtan
@rickysadewa_895,person,kalimantan,sosial kemasyarakatan,rickysadewa_895
@BSKalimantan,nonperson,kalimantan,sosial kemasyarakatan,BSKalimantan
@melianach,person,kalimantan,hiburan,melianach
@Vikingkalsell,nonperson,kalimantan,olahraga,Vikingkalsell
@radioMartapura,nonperson,kalimantan,media,radioMartapura
@pertaminaborneo,nonperson,kalimantan,ekonomi dan bisnis,pertaminaborneo
@PMIKalSel,nonperson,kalimantan,kesehatan,PMIKalSel
@TwiBiKalimantan,nonperson,kalimantan,hobi,TwiBiKalimantan
@walhi_kalteng,nonperson,kalimantan,sosial kemasyarakatan,walhi_kalteng
@fosilkaliber,nonperson,kalimantan,sosial kemasyarakatan,fosilkaliber
"@pajakkalbar",nonperson,kalimantan,ekonomi dan bisnis,"pajakkalbar"
@TVRIKALTIM_,nonperson,kalimantan,media,TVRIKALTIM_
@kantahkabkapuas,nonperson,kalimantan,ekonomi dan bisnis,kantahkabkapuas
@ELFKaltim,nonperson,kalimantan,hobi,ELFKaltim
@StandupIndoBdg,nonperson,jawa barat dan banten,hiburan,StandupIndoBdg
@dkd_jawabarat,nonperson,jawa barat dan banten,hobi,dkd_jawabarat
@PramukaJabar,nonperson,jawa barat dan banten,hobi,PramukaJabar
@IM3Jabar,nonperson,jawa barat dan banten,ekonomi dan bisnis,IM3Jabar
@itbofficial,nonperson,jawa barat dan banten,pendidikan dan penelitian,itbofficial
@bi_jabar,nonperson,jawa barat dan banten,ekonomi dan bisnis,bi_jabar
@bkpd_jabar,nonperson,jawa barat dan banten,sosial kemasyarakatan,bkpd_jabar
@infojabar,nonperson,jawa barat dan banten,sosial kemasyarakatan,infojabar
@dishut_jabar,nonperson,jawa barat dan banten,sosial kemasyarakatan,dishut_jabar
@kompastv_jabar,nonperson,jawa barat dan banten,media,kompastv_jabar
@explorejabar,nonperson,jawa barat dan banten,hospitality & tourism,explorejabar
@humasjabar,nonperson,jawa barat dan banten,sosial kemasyarakatan,humasjabar
@dprdjawabarat,nonperson,jawa barat dan banten,sosial kemasyarakatan,dprdjawabarat
@StandUpGarut,nonperson,jawa barat dan banten,hiburan,StandUpGarut
@Standupindo_cmh,nonperson,jawa barat dan banten,hiburan,Standupindo_cmh
@MilanistiCimahi,nonperson,jawa barat dan banten,olahraga,MilanistiCimahi
@balaibahasa_su,nonperson,sumatera,pendidikan dan penelitian,balaibahasa_su
@bpcb_sumbar,nonperson,sumatera,sosial kemasyarakatan,bpcb_sumbar
@kpuprov_sumut,nonperson,sumatera,ekonomi dan bisnis,kpuprov_sumut
@MI_Andalas,nonperson,sumatera,olahraga,MI_Andalas
@IM3OoredooSMTRA,nonperson,sumatera,ekonomi dan bisnis,IM3OoredooSMTRA
@tvrisumsel,nonperson,sumatera,media,tvrisumsel
@loker_sumbar,nonperson,sumatera,sosial kemasyarakatan,loker_sumbar
@SumateraInfo,nonperson,sumatera,sosial kemasyarakatan,SumateraInfo
@lepassripo,nonperson,sumatera,media,lepassripo
@PMISUMSEL,nonperson,sumatera,kesehatan,PMISUMSEL
@plnsumut_,nonperson,sumatera,ekonomi dan bisnis,plnsumut_
@myXL_Sumatera,nonperson,sumatera,ekonomi dan bisnis,myXL_Sumatera
@wisataSumbar,nonperson,sumatera,hospitality & tourism,wisataSumbar
@infoSUMSEL,nonperson,sumatera,sosial kemasyarakatan,infoSUMSEL
@tvrisumsel,nonperson,sumatera,media,tvrisumsel
@RadioPLS_mks,nonperson,sulawesi,media,RadioPLS_mks
@PemkotManado,nonperson,sulawesi,sosial kemasyarakatan,PemkotManado
@ManadoKota,nonperson,sulawesi,sosial kemasyarakatan,ManadoKota
@NetizenManado,nonperson,sulawesi,hiburan,NetizenManado
@SmartFM_Manado,nonperson,sulawesi,media,SmartFM_Manado
@SAHABAT_GTLO,nonperson,sulawesi,hobi,SAHABAT_GTLO
@KanwilBPNGTLO,nonperson,sulawesi,sosial kemasyarakatan,KanwilBPNGTLO
@kanwilbpnsulut,nonperson,sulawesi,sosial kemasyarakatan,kanwilbpnsulut
@kanwilbpnsulsel,nonperson,sulawesi,sosial kemasyarakatan,kanwilbpnsulsel
@info_bnnkpalu,nonperson,sulawesi,sosial kemasyarakatan,info_bnnkpalu
@PSM_Makassar,nonperson,sulawesi,olahraga,PSM_Makassar
@supersyahrir,person,sulawesi,olahraga,supersyahrir
@infoMKS_,nonperson,sulawesi,media,infoMKS_
@emretyyy,person,sulawesi,ekonomi dan bisnis,emretyyy
@Tribun_Manado,nonperson,sulawesi,media,Tribun_Manado
@pandji,person,jabodetabek,hiburan,pandji
@kristoimmanuel,person,jabodetabek,hiburan,kristoimmanuel
@bintangemon,person,jabodetabek,hiburan,bintangemon
@TretanMuslim,person,jabodetabek,hiburan,TretanMuslim
@txtdarionlshop,nonperson,jabodetabek,media,txtdarionlshop
@narji77,person,jabodetabek,hiburan,narji77
@showimah,person,jabodetabek,hiburan,showimah
@awwe_,person,jabodetabek,hiburan,awwe_
@mosidik,person,jabodetabek,hiburan,mosidik
@StandUpKompasTV,nonperson,jabodetabek,hiburan,StandUpKompasTV
@gilbhas,person,jabodetabek,hiburan,gilbhas
@borisbokir,person,jabodetabek,hiburan,borisbokir
@ClubKetawa,nonperson,jabodetabek,hiburan,ClubKetawa
@Standupindo,nonperson,jabodetabek,hiburan,Standupindo
@BANKBRI_ID,nonperson,jabodetabek,ekonomi dan bisnis,BANKBRI_ID
@Felicia_Putri,person,jabodetabek,ekonomi dan bisnis,Felicia_Putri
@gilangardana,person,jabodetabek,ekonomi dan bisnis,gilangardana
@ianrenassa,person,jabodetabek,ekonomi dan bisnis,ianrenassa
@kevin_adhika,person,jabodetabek,ekonomi dan bisnis,kevin_adhika
@kaesangp,person,jabodetabek,ekonomi dan bisnis,kaesangp
@bankmandiri,nonperson,jabodetabek,ekonomi dan bisnis,bankmandiri
@KemenkeuRI,nonperson,jabodetabek,ekonomi dan bisnis,KemenkeuRI
@bsihelp,nonperson,jabodetabek,ekonomi dan bisnis,bsihelp
@mandiricard,nonperson,jabodetabek,ekonomi dan bisnis,mandiricard
@BNI,nonperson,jabodetabek,ekonomi dan bisnis,BNI
@CIMBNiaga,nonperson,jabodetabek,ekonomi dan bisnis,CIMBNiaga
@KukuhYEA,person,jawa barat dan banten,ekonomi dan bisnis,KukuhYEA
@BisnisProperti,nonperson,jabodetabek,ekonomi dan bisnis,BisnisProperti
@truthaboutluth,person,jabodetabek,ekonomi dan bisnis,truthaboutluth
@BisnisAnakMuda,person,jabodetabek,ekonomi dan bisnis,BisnisAnakMuda
@FirstMediaWorld,nonperson,jabodetabek,ekonomi dan bisnis,FirstMediaWorld
@cathysharon,person,jabodetabek,hiburan,cathysharon
@BLACKPINK4ID,nonperson,jabodetabek,hobi,BLACKPINK4ID
@BLACKPINK_IDN,nonperson,jabodetabek,hobi,BLACKPINK_IDN
@GSLIndonesia,nonperson,jabodetabek,hobi,GSLIndonesia
@PR_Bekasi,nonperson,jabodetabek,hobi,PR_Bekasi
@pr_palembang,nonperson,sumatera,hobi,pr_palembang
@BikersIndonesia,nonperson,jabodetabek,hobi,BikersIndonesia
@indonesianbiker,nonperson,jabodetabek,hobi,indonesianbiker
@hsx125c_bekasi,nonperson,jabodetabek,hobi,hsx125c_bekasi
@Hmc_Manado,nonperson,sulawesi,hobi,Hmc_Manado
@ARVC_Cirebon,nonperson,jawa barat dan banten,hobi,ARVC_Cirebon
@KediriRiderClub,nonperson,jawa timur,hobi,KediriRiderClub
@StandUpIndo_BGR,nonperson,jabodetabek,hiburan,StandUpIndo_BGR
@Arnastria,person,jabodetabek,sains dan teknologi,Arnastria
@BekasiUrbanCity,nonperson,jabodetabek,sosial kemasyarakatan,BekasiUrbanCity
@jonathanfilbert,person,jabodetabek,sains dan teknologi,jonathanfilbert
@BPBDJakarta,nonperson,jabodetabek,sosial kemasyarakatan,BPBDJakarta
@StandUpIndo_BKS,nonperson,jabodetabek,hiburan,StandUpIndo_BKS
@StandUpIndo_CKR,nonperson,jabodetabek,hiburan,StandUpIndo_CKR
@erickthohir,person,jabodetabek,sosial kemasyarakatan,erickthohir
@irwancihuy,person,jabodetabek,sains dan teknologi,irwancihuy
@tanganbelang_tb,person,jabodetabek,sains dan teknologi,tanganbelang_tb
@ibrokumar,person,jabodetabek,sains dan teknologi,ibrokumar
@MiFans_Depok,nonperson,jabodetabek,sains dan teknologi,MiFans_Depok
@WisnuKumoro,person,jabodetabek,sains dan teknologi,WisnuKumoro
@PapersBoy,person,jabodetabek,sains dan teknologi,PapersBoy
@Y_ChikaJKT48,person,jabodetabek,hiburan,Y_ChikaJKT48
@N_AraJKT48,person,jabodetabek,hiburan,N_AraJKT48
@Dsinathrya,person,jabodetabek,hiburan,Dsinathrya
@Julstelle,person,jabodetabek,hiburan,Julstelle
@jojosuherman,person,jabodetabek,hiburan,jojosuherman
@A_ZeeJKT48,person,jabodetabek,hiburan,A_ZeeJKT48
@anggardhanoano,person,jabodetabek,sains dan teknologi,anggardhanoano
@hafizhrafizal,person,jabodetabek,sains dan teknologi,hafizhrafizal
@bepe20,person,jabodetabek,olahraga,bepe20
@indra_sjafri,person,jawa tengah dan yogyakarta,olahraga,indra_sjafri
@hannsamuyama,person,jabodetabek,olahraga,hannsamuyama
@ruben_onsu,person,jabodetabek,hiburan,ruben_onsu
@deelestari,person,jabodetabek,seni,deelestari
@GlennFredly,person,jabodetabek,hiburan,GlennFredly
@sherinasinna,person,jabodetabek,hiburan,sherinasinna
@vidialdiano,person,jabodetabek,hiburan,vidialdiano
@vjdaniel,person,jabodetabek,hiburan,vjdaniel
@Rayi_Putra,person,jabodetabek,hiburan,Rayi_Putra
@gadiiing,person,jabodetabek,hiburan,gadiiing
@mrsayudewi,person,jabodetabek,hiburan,mrsayudewi
@bismakarisma,person,jabodetabek,hiburan,bismakarisma
@putri_tanjung,person,jabodetabek,ekonomi dan bisnis,putri_tanjung
@andretaulany74,person,jabodetabek,hiburan,andretaulany74
@inijedar,person,jabodetabek,hiburan,inijedar
@tasaphira,person,jabodetabek,hiburan,tasaphira
@ProVokasi_UI,nonperson,jabodetabek,pendidikan dan penelitian,ProVokasi_UI
@TRANS7,nonperson,jabodetabek,media,TRANS7
@Official_MNCTV,nonperson,jabodetabek,media,Official_MNCTV
@MelodyLaksani,person,jabodetabek,hiburan,MelodyLaksani
@shanju,person,jabodetabek,hiburan,shanju
@jcvrnd19,person,jabodetabek,hiburan,jcvrnd19
@officialJKT48,nonperson,jabodetabek,hiburan,officialJKT48
@TokopediaCare,nonperson,jabodetabek,ekonomi dan bisnis,TokopediaCare
@JNECare,nonperson,jabodetabek,ekonomi dan bisnis,JNECare
@ShopeeCare,nonperson,jabodetabek,ekonomi dan bisnis,ShopeeCare
@ShopeeID,nonperson,jabodetabek,ekonomi dan bisnis,ShopeeID
@gopayindonesia,nonperson,jabodetabek,ekonomi dan bisnis,gopayindonesia
@linkaja,nonperson,jabodetabek,ekonomi dan bisnis,linkaja
@triindonesia,nonperson,jabodetabek,ekonomi dan bisnis,triindonesia
@myXLCare,nonperson,jabodetabek,ekonomi dan bisnis,myXLCare
@KickAndyShow,nonperson,jabodetabek,media,KickAndyShow
@jawapos,nonperson,jabodetabek,media,jawapos
@ombudsmanmalut,nonperson,maluku dan papua,sosial kemasyarakatan,ombudsmanmalut
@bptp_malut,nonperson,maluku dan papua,ekonomi dan bisnis,bptp_malut
